run,temp,temppoor,L1temp,L1temppoor,L2temp,L2temppoor,L3temp,L3temppoor,L4temp,L4temppoor,L5temp,L5temppoor,temp2,temp2poor,L1temp2,L1temp2poor,L2temp2,L2temp2poor,L3temp2,L3temp2poor,L4temp2,L4temp2poor,L5temp2,L5temp2poor,tlin,tlinpoor,tsq,tsqpoor
675,.0129961,.0130463,-.0051597,-.0090646,-.0005865,.0067477,-.0054037,-.0323221,.0048408,-.0179196,.0018147,-.0063235,-.0004869,-.0004719,.0002969,.0002639,7.15e-06,-.000082,.0001571,.0005181,-.0001783,.000611,.0000196,-3.25e-06,.0085019,-.0458359,-.0001844,.0008358
676,.0071931,-.0234135,-.0117523,.0075607,-.0122596,.011079,-.0040429,.0069947,-.0043612,.0016373,.0059316,.0049253,-.0001568,.000178,.0003624,-.0000933,.0004408,-.0002912,-.0000828,-.0002582,.0002432,.0000421,-.0000919,-.0001033,-.0192914,.0087834,.0007149,-.0005259
677,.0198057,.0068137,-.0120269,-.0242596,-.0097726,.002683,-.0006262,-.0093103,-.0011405,.0282859,.010224,.008642,-.0007093,-.0005118,.000467,.0007529,.0003165,-.0000709,-.0002276,.0001294,.0001982,-.0005317,-.000289,-.0003011,.0064634,.0128547,-.0002443,-.0005333
678,.0032943,-.0124041,-.009354,.0005208,-.0019851,-.0358183,.0049947,.0089721,-.0021949,-.0090261,.0015898,.0016683,-.0002629,-4.34e-06,.0003648,.0000877,.0000407,.0007206,-.0002448,-.0003263,.00005,.0003283,-.0000814,-.0000123,-.0036552,-.0460874,-.0001335,.0007936
679,.0054158,.0097693,-.0070024,-.0127062,-.0048182,.0081128,-.007275,.0137432,-.0046145,.0134699,.0015118,.0065141,-.0002948,-.0003497,.0002582,.000421,.0001592,-.0001665,.0001154,-.0003939,.0001705,-.0001055,-.0001121,-.0002235,-.0167825,.038903,.0002964,-.0008181
680,.006705,.0177731,-.0146462,-.0030993,-.0120487,-.0041136,-.0110351,-.0047999,-.0001907,-.0007169,.017692,.0112688,-.0002166,-.0005991,.0005281,.0001172,.0002911,.0001016,.0003082,-.0001184,8.51e-06,.0002137,-.0005515,-.0003287,-.0135236,.0163121,.0003678,-.0006137
681,.0089977,-.0006788,-.0094046,.0007401,-.0038615,-.0200418,-.0054815,-.0198544,-.0031324,-.0084936,.0054725,-.0079573,-.0004587,-.0001897,.0004012,.000109,.0001129,.0002633,.000193,.0003964,.0002705,.0003385,-.0001982,.0001322,-.0074099,-.0562858,.0003207,.0010497
682,.0126711,.0073066,-.0116898,.0026817,-.0066075,-.0149704,-.0047908,-.0178792,-.0041175,.0117505,.0031224,.0054824,-.0005337,-.0004149,.0004368,.0001246,.0002371,.0004032,.0000139,.0003224,.0001088,-.0000464,-.0000246,-.0002062,-.011412,-.0056285,.0002384,.0001827
683,.0168572,-.000721,-.0118152,-.0038251,-.0065261,-.026662,-.0009241,.0013045,.0068496,.0018851,.0108477,.0046548,-.0007315,-.0003436,.000484,.0001923,.0001514,.0005459,-.0001324,-.0001374,-.0003442,.0000615,-.0002427,-.0001507,.0152892,-.0233637,-.0008153,.000168
684,.0087939,.0083204,-.0106613,-.0064031,-.0059465,-.0184826,.0011879,.0055381,-.0043927,.0000936,.005638,.0157349,-.0003062,-.0004899,.000494,.0002533,.0001755,.0002995,-.0001265,-.0002642,.0003248,.000191,-.0002616,-.0004018,-.0053806,.0048013,.0002998,-.000412
